Open,High,Low,Close,Adj Close,Volume,company_name
192.00999450683594,192.1999969482422,189.5800018310547,191.72999572753906,190.79530334472656,47145600,APPLE
190.94000244140625,191.8000030517578,187.47000122070312,188.0399932861328,187.12326049804688,55859400,APPLE
187.0399932861328,187.10000610351562,184.35000610351562,184.39999389648438,183.5010223388672,55467800,APPLE
183.99000549316406,186.9499969482422,183.82000732421875,186.86000061035156,185.94903564453125,64885400,APPLE
179.86000061035156,187.3300018310547,179.25,185.85000610351562,184.94395446777344,102518000,APPLE
188.14999389648438,189.25,185.83999633789062,187.67999267578125,186.76502990722656,69668800,APPLE
186.86000061035156,189.30999755859375,186.77000427246094,189.3000030517578,188.3771514892578,43490800,APPLE
190.63999938964844,191.0500030517578,188.61000061035156,189.41000366210938,188.48660278320312,53439000,APPLE
189.38999938964844,189.5399932861328,187.35000610351562,188.32000732421875,187.40191650390625,40962000,APPLE
188.64999389648438,189.99000549316406,188.0,188.85000610351562,188.1691436767578,45155200,APPLE
188.4199981689453,188.6699981689453,186.7899932861328,187.14999389648438,186.47525024414062,41781900,APPLE
185.77000427246094,186.2100067138672,183.50999450683594,185.0399932861328,184.37286376953125,56529500,APPLE
185.32000732421875,185.52999877929688,182.44000244140625,184.14999389648438,183.48606872558594,54630500,APPLE
183.5500030517578,184.49000549316406,181.35000610351562,183.86000061035156,183.19712829589844,65434500,APPLE
183.4199981689453,184.85000610351562,181.6699981689453,182.30999755859375,181.6527099609375,49701400,APPLE
181.7899932861328,182.42999267578125,180.0,181.55999755859375,180.90541076660156,53665600,APPLE
181.94000244140625,182.88999938964844,180.66000366210938,182.32000732421875,181.66268920898438,41529700,APPLE
183.47999572753906,184.9600067138672,182.4600067138672,184.3699951171875,183.70526123046875,52292200,APPLE
185.00999450683594,185.0399932861328,182.22999572753906,182.52000427246094,181.86195373535156,45119700,APPLE
182.24000549316406,182.75999450683594,180.64999389648438,181.16000366210938,180.50686645507812,40867400,APPLE
181.10000610351562,183.9199981689453,179.55999755859375,182.6300048828125,181.97157287597656,54318900,APPLE
182.50999450683594,183.1199951171875,180.1300048828125,181.4199981689453,180.76593017578125,48953900,APPLE
181.27000427246094,182.57000732421875,179.52999877929688,180.75,180.0983428955078,136682600,APPLE
179.5500030517578,180.52999877929688,177.3800048828125,179.66000366210938,179.01226806640625,73488000,APPLE
176.14999389648438,176.89999389648438,173.7899932861328,175.10000610351562,174.4687042236328,81510100,APPLE
170.75999450683594,172.0399932861328,169.6199951171875,170.1199951171875,169.5066680908203,95132400,APPLE
171.05999755859375,171.24000549316406,168.67999267578125,169.1199951171875,168.51025390625,68587700,APPLE
169.14999389648438,170.72999572753906,168.49000549316406,169.0,168.3907012939453,71765100,APPLE
169.0,173.6999969482422,168.94000244140625,170.72999572753906,170.11447143554688,76114600,APPLE
172.94000244140625,174.3800048828125,172.0500030517578,172.75,172.12718200683594,60139500,APPLE
173.14999389648438,174.02999877929688,171.00999450683594,173.22999572753906,172.60543823242188,59825400,APPLE
172.77000427246094,173.19000244140625,170.75999450683594,171.1300048828125,170.51303100585938,52488700,APPLE
172.91000366210938,174.30999755859375,172.0500030517578,173.0,172.3762664794922,72913500,APPLE
171.1699981689453,172.6199951171875,170.2899932861328,172.6199951171875,171.99765014648438,121664700,APPLE
175.57000732421875,177.7100067138672,173.52000427246094,173.72000122070312,173.09368896484375,75604200,APPLE
174.33999633789062,176.61000061035156,173.02999877929688,176.0800018310547,175.4451904296875,55215200,APPLE
175.72000122070312,178.6699981689453,175.08999633789062,178.6699981689453,178.02581787109375,53423100,APPLE
177.0500030517578,177.49000549316406,170.83999633789062,171.3699951171875,170.7521514892578,106181300,APPLE
171.75999450683594,173.0500030517578,170.05999755859375,172.27999877929688,171.6588592529297,71106600,APPLE
170.57000732421875,171.94000244140625,169.4499969482422,170.85000610351562,170.23403930664062,54288300,APPLE
170.0,171.4199981689453,169.5800018310547,169.7100067138672,169.09814453125,57388400,APPLE
170.41000366210938,173.60000610351562,170.11000061035156,173.30999755859375,172.68515014648438,60273300,APPLE
171.75,172.22999572753906,170.50999450683594,171.47999572753906,170.86175537109375,65672700,APPLE
171.19000244140625,171.25,169.47999572753906,170.02999877929688,169.4169921875,46240500,APPLE
169.0800018310547,169.33999633789062,168.22999572753906,168.83999633789062,168.2312774658203,49329500,APPLE
168.7899932861328,170.67999267578125,168.5800018310547,169.64999389648438,169.03834533691406,47691700,APPLE
170.2899932861328,171.9199981689453,168.82000732421875,168.82000732421875,168.21136474609375,53704400,APPLE
169.58999633789062,170.38999938964844,168.9499969482422,169.5800018310547,168.96859741210938,42055200,APPLE
169.02999877929688,169.1999969482422,168.24000549316406,168.4499969482422,167.84268188476562,37425500,APPLE
168.6999969482422,170.0800018310547,168.35000610351562,169.6699981689453,169.0582733154297,42451200,APPLE
168.8000030517578,169.08999633789062,167.11000061035156,167.77999877929688,167.1750946044922,49709300,APPLE
168.33999633789062,175.4600067138672,168.16000366210938,175.0399932861328,174.40892028808594,91070300,APPLE
174.25999450683594,178.36000061035156,174.2100067138672,176.5500030517578,175.91348266601562,101593300,APPLE
175.36000061035156,176.6300048828125,172.5,172.69000244140625,172.06739807128906,73531800,APPLE
171.75,173.75999450683594,168.27000427246094,169.3800048828125,168.7693328857422,73711200,APPLE
169.61000061035156,170.64999389648438,168.0,168.0,167.39430236816406,50901200,APPLE
168.02999877929688,168.63999938964844,166.5500030517578,167.0399932861328,166.437744140625,43122900,APPLE
166.2100067138672,166.39999389648438,164.0800018310547,165.0,164.40512084960938,67772100,APPLE
